811,General,23-Sep-19,YOUTUBE,Bienvenidos!!!,"¿Estudiás arquitectura, ó sos un arquitecto con ganas de profundizar en el amplio universo de la gráfica arquitectónica? ¡Hice este canal para vos! Todas las semanas voy a ir subiendo tutoriales, consejos, técnicas y trucos que te van a hacer ganar mucho tiempo y calidad en tus trabajos. Suscribite para no perderte ningún capítulo y para participar de los sorteos mensuales de clases de consulta gratuitas online que voy a hacer para mis suscriptores.",https://www.youtube.com/watch?v=eSsp0w10yFA,0:59
812,LUMION  3DS MAX,11-Oct-19,YOUTUBE,Renders ARQUITECTURA Programas | ¿cual elegir? ¿LUMION o 3D MAX? ¿que estoy haciendo mal?,"ESTUDIAS ARQUITECTURA y tus renders NO salen como vos querés? En este video TE EXPLICO porqué, y te ayudo a elegir entre 3DS MAX y LUMION. Hace mucho tiempo que quería hacer este video. Siempre veo a mis alumnos fracasar en el intento de hacer renders de sus proyectos para las entregas de la facu... Los veo decepcionarse de sus resultados, frustrarse por la calidad alcanzada de sus renders, y para peor... los veo pagando a un tercero para que les haga los renders... El problema es siempre el mismo... la elección de la herramienta para hacer los renders... Mirá el video hasta el final que te voy a dejar un tip muy valioso para tus renders.",https://www.youtube.com/watch?v=gDoS66A_kCI&ab_channel=arqMANES,16:40
813,Autocad,29-Oct-19,YOUTUBE,PARA QUE sirven los bloques en Autocad ??? ,"Muy poca gente conoce el potencial que tienen los bloques en AutoCad, y se contentan creyendo que son personitas, autitos y mueblecitos...ERROR!!!!!! En este video te explico a modo de introducción para qué sirven los bloques y como usarlos... Ademas te muestro cuales son las ventajas y las posibilidades, que ni siquiera imaginas!",https://www.youtube.com/watch?v=i4t8DOCxr2k&ab_channel=arqMANES,9:21
814,Autocad,29-Oct-19,YOUTUBE,Como hacer bloques en Autocad BIEN!!!!,"Estoy muy acostumbrado a ver como mis alumnos en la Facultad de Arquitectura, arruinan sus dibujos de AutoCad cuando les ponen los bloques... Está instalado en el inconciente colectivo que los bloques son ""adornitos"" para los dibujos de arquitectura, y todos están a la pesca de algún alma caritativa que ""regale"" sus bloques... autitos, personitas, mueblecitos y arbolitos juntados de vaya a saber cuantos sitios de internet van a parar a un dibujo común que tiene TODOS los bloques, y de ahí copian y pegan en sus archivos, sin el mas mínimo control de lo que sucede con ese bloque cuando lo pego en un archivo, o cuando lo imprimo... Pierden literalmente el control y la organización de sus dibujos, y los bloques terminan siendo los culpables del fracaso del dibujo... En este video te voy a enseñar a arreglar los bloques que bajaste y que tanto te gusta usar, y vamos a hacer que funcionen perfectamente como si vos los hubieses hecho desde cero.",https://www.youtube.com/watch?v=cX1oL3hqzxA&t=70s&ab_channel=arqMANES,10:55
815,Autocad,30-Oct-19,YOUTUBE,Problemas con Bloques Autocad. Como ARREGLAR mis bloques de Autocad en UN SOLO CLICK!!!,"Hay una herramienta totalmente desconocida para la mayoría de los arquitectos dentro de AutoCad, que entre otras cosas te puede ayudar a arreglar tus archivos repletos de bloques en un solo click! Si viste mi video anterior  https://youtu.be/cX1oL3hqzxA​, te habrás dado cuenta que arreglar los bloques uno por uno es una tarea interminable... En este video te muestro como hacerlo con todos a la vez, en menos de un minuto, haciendo que tus bloques queden todos dibujados en el Layer 0 y con todas sus propiedades BYLAYER.",https://www.youtube.com/watch?v=mESO1As1QZY&ab_channel=arqMANES,6:28
816,Autocad  SketchUp,1-Nov-19,YOUTUBE,Como hacer un CORTE FUGADO - TUTORIAL - AutoCad + SketchUp. CORTE PERSPECTIVADO,"De manera simple y sencilla, te enseño a hacer un corte fugado, la pieza gráfica por excelencia requerida por los profes de diseño arquitectónico.",https://www.youtube.com/watch?v=1UVqGvP7IW0&t=120s&ab_channel=arqMANES,33:50
817,Autocad  PhotoShop,10-Nov-19,YOUTUBE,Como pasar de AUTOCAD a PHOTOSHOP sin perder calidad | 2019,"De manera simple y sencilla, te enseño a hacer un corte fugado, la pieza gráfica por excelencia requerida por los profes de diseño arquitectónico.",https://www.youtube.com/watch?v=mu5VDiB78mI&t=179s&ab_channel=arqMANES,19:10
818,PhotoShop,8-Dec-19,YOUTUBE,CROQUIS Arquitectura. ACUARELA Photoshop.-TUTORIAL paso a paso,"En menos de media hora te explico paso a paso un procedimiento para hacer un croquis acuarelado en photoshop desde un dibujo de sketchup. Si aprendés el método, te puedo asegurar que lo haces en 5 minutos...",https://www.youtube.com/watch?v=_9ek1xQqD2s&ab_channel=arqMANES,28:26
819, SketchUp,8-Dec-19,YOUTUBE,Style Builder SKETCHUP TUTORIAL español,"Sketchup puede dibujar utilizando tus trazos. En este video te explico paso a paso como hacerlo, para que tus dibujos de sketchup tengan tu propio estilo. Creá muy facilmente una identidad visual de tus trabajos en sketchup y dales un carácter mas personalizado.",https://www.youtube.com/watch?v=K4M9SrqueII&t=29s&ab_channel=arqMANES,14:18
820,Render,4-Jan-20,YOUTUBE,Como hacer un RENDER REALISTA ,"No existe un botón mágico que diga ""hacer render realista”, pero si hay una sumatoria de factores que hacen que nuestro render se vea realista, o mejor dicho, hay multiples causas para que nuestro render pierda realismo. Hoy te voy a mostrar todas las claves que hay que tener en cuenta al hacer un render para hacerlos mas realistas. Vamos a partir de un render muy básico y pasando clave por clave vamos a terminar en este otro. Seguramente te pasó, que estas trabajando en tu computadora, haciendo un render, y el resultado de lo que ves te parece hiper realista… sentís que tu render es muy real y te emociona avanzar paso a paso sabiendo que tu render va a ser admirado por todos tus compañeros de curso y por tus profesores… Al dia siguiente vas con tu render hiper-realista a la facultad y ves los renders de tus compañeros y te queres matar… el tuyo parece un lego!!! Y pensas… tengo que conseguir mejores materiales, Necesito mejores componentes… tengo que renderizar con vray… No… No hace falta… La solución no va por ahí… Es muy normal que cuando uno se enfrasca dentro de un trabajo y no tiene contacto con la realidad, lo que uno tiene delante de sus ojos se transforma en realidad, hasta que tiene delante otra realidad para comparar y se da cuenta que lo que antes parecía real ahora se ve claramente artificial…… Para hacer tus renders mas reales solo tenes que salir a mirar el mundo real con tus ojos y trasladar lo que viste a tu software de rendering… Vamos a ir pasando por diferentes claves basadas en la observación de la realidad y en cada uno de ellas me voy a detener a explicarte el porqué. Si bien alguno de estos tips te pueden parecer obvios, te recomiendo que te quedes hasta el final porque seguramente algo nuevo vas a aprender, y aparte, he dejado para el final los tips mas importantes de todos. La mayoría de las claves que te voy a dar a continuación sirven para cualquier software de rendering que estes utilizando… No obstante yo te lo voy a mostrar desde Lumion 8, 9 o 10, para hacer mas fácil este video… Puede que uno o dos tips sean exclusivos para Lumion, pero como te dije antes… esto vale para todos los software…",https://www.youtube.com/watch?v=Mr0tOOa6WKg&ab_channel=arqMANES,34:44
821,Autocad,25-Jan-20,YOUTUBE,Insertar IMAGEN en Autocad y ESCALARLA,"Muchas veces tenemos la necesidad de insertar un jpg en Autocad. Ya sea como referencia para calcarla, o a modo de ilustración del proyecto en cuestión. Pero, si alguna vez lo hiciste seguro que te has encontrado con que el JPG está fuera de escala, o que está referenciado desde algún lugar del disco y desaparece de tu dibujo si lo borras o lo cambias de lugar y te queres morir cuando esto pasa… Entonces, en este video muy cortito te voy a explicar la mejor manera de incorporar imágenes a tu dibujo de Autocad y que estas permanezcan incrustadas en el dibujo en lugar de estar alojadas en tu disco, de manera tal que la imagen nunca se pierda, y además, te voy a enseñar a escalarla para que quede lo más cercano posible a la escala que necesitas.",https://www.youtube.com/watch?v=3pcXxCOeev4&ab_channel=arqMANES,16:08
822,Autocad,31-Jan-20,YOUTUBE,by LAYER by BLOCK AutoCad - Diferencias,"Si estas haciendo bloques en Autocad y ya mas o menos dominas la técnica, y empezas a hacer bloques un poco mas complejos, te recomiendo que le prestes atención a este brevísimo video explicativo acerca de las propiedades de los objetos que van a formar parte de los bloques. Mas concretamente a la diferencia que hay entre by layer y by block… o en castellano, por capa y por bloque.",https://www.youtube.com/watch?v=f6FWyyKTmhI&ab_channel=arqMANES,14:21
823,Autocad,7-Feb-20,YOUTUBE,TIPOS de LINEAS Autocad,"Si tuviste alguno de estos tres problemas: 1-Estas cambiando el tipo de línea y no se te cambia!!! 2-Copias desde un archivo donde se ven tus tipos de linea todo bien y cuando lo pegas en otro archivo se ve todo en línea continua. 3-Ves tus líneas de trazo perfectas en el model y cuando vas al Layout se ven todas continuas o con otra escala!!! Quédate hasta el final porque te voy a explicar por qué te pasa eso, te voy a explicar como solucionarlo para que nunca te vuelva a pasar, y además te voy a dar un par de tips de Layout que si no los sabes te van a solucionar la vida…",https://www.youtube.com/watch?v=NXdBlu-3xxU&ab_channel=arqMANES,17:38
824,Autocad,14-Feb-20,YOUTUBE,Imprimir en Autocad. CTB Plumillas Escala PDF Layout,"El procedimiento para imprimir mas simple y mas eficaz para que imprimir en Autocad no sea una desgracia. Por que la verdad que imprimir en Autocad es una desgracia… y no es culpa tuya, ni de la impresora… es culpa de autocad… Si te está costando imprimir, si los grosores de las líneas no se imprimen como vos queres, si los colores se imprimen todos negros o de otro color que vos no queres, si no podes poner en escala tu impresión…, si no sabes como usar los estilos de ploteo o te parecen muy complicados… quédate que te lo explico!",https://www.youtube.com/watch?v=Fx-OvSMjinc&ab_channel=arqMANES,30:40
825, SketchUp,21-Feb-20,YOUTUBE,"ESCALERA Como diseñar, dibujar en sketchup 3D y calcular (diseño dibujo y cálculo muy facil)",Uno de los temas mas dificiles para los estudiantes de arquitectura es el diseño de escaleras. Hoy te traigo este metodo NOVEDOSO y muy facil para calcular y dibujar en 3D al mismo tiempo una escalera de una forma que nunca te la explicaron.,https://www.youtube.com/watch?v=Ajf8TnJxFvQ&ab_channel=arqMANES,17:10
826,Autocad,28-Feb-20,YOUTUBE,pasar plano de 3D a 2D AutoCad. Comando Flatten para aplanar lineas y llevar a cota cero (z=0),"Si trabajas en Autocad, seguro que alguna vez en la vida te pasó esto. Y si sos estudiante de arquitectura seguro que te pasó 10 minutos antes de salir a imprimir tu entrega…Y si no te pasó, seguro que te va a pasar si no mirás este video…. Te dejo los videos de bloques: https://youtu.be/cX1oL3hqzxA​ https://youtu.be/mESO1As1QZY​ Es una muy buena práctica chequear cada tanto en 3d que esté todo en la coordenada 0 del eje Z, y sino lo están arreglarlo… Y además… obviamente como ha quedado demostrado hoy, utilizar nuestros propios bloques……",https://www.youtube.com/watch?v=b-QxoAp7UdE&ab_channel=arqMANES,12:21
827, SketchUp,3-Mar-20,YOUTUBE,Outliner Sketchup 2020 ,"UNA DE LAS MEJORES HERRAMIENTAS DE SKETCHUP (Y UNA DE LAS MAS DESCONOCIDAS) Va el resultado del sorteo del video anterior, y te doy las instrucciones para participar del próximo sorteo de consulta online!",https://www.youtube.com/watch?v=3AgXdKU9ZWk&ab_channel=arqMANES,18:13
828, SketchUp,6-Mar-20,YOUTUBE,Poner MATERIALES en sketchup 2020,"Outliner 👉🏼👉🏼👉🏼https://youtu.be/3AgXdKU9ZWk​ Nadie le da importancia, todos creen que es muy sencillo, y encierra misterios que son los responsables de muchos de los problemas que tenes al renderizar.",https://www.youtube.com/watch?v=X0EL_xUIRhY&t=1s&ab_channel=arqMANES,20:09
829,Twinmotion,10-Mar-20,YOUTUBE, TWINMOTION tutorial español ,"Twinmotion es uno de los software de rendering en tiempo real que mas utilizan los estudiantes de arquitectura. Es gratuito, de muy buena calidad, veloz, no necesita grandes configuraciones de hardware, funciona en Windows y en Mac. En 30 minutos te enseño a usarlo. Link para video de descarga: https://youtu.be/uG7aZAWOWzY​ Materiales en Sketchup: https://youtu.be/X0EL_xUIRhY",https://www.youtube.com/watch?v=sH7cM7gX6s8&ab_channel=arqMANES,30:42
830,Twinmotion,11-Mar-20,YOUTUBE,TWINMOTION como instalar 2020 GRATIS para ESTUDIANTES,Twinmotion 2020 ya está en el mercado y los estudiantes pueden usarlo de manera gratuita. En 3 minutos te enseño a descargarlo e instalarlo. https://www.unrealengine.com/en-US/tw...,https://www.youtube.com/watch?v=uG7aZAWOWzY&ab_channel=arqMANES,3:31
831,Lumion  Twinmotion,18-Mar-20,YOUTUBE, Lumion vs Twinmotion en español,"Comparación detallada entre Lumion 10 Pro y Twinmotion 2020, los dos software mas populares de rendering en tiempo real. Agrupadas en 8 categorías vamos a ir desandando las características mas importantes y necesarias para un estudiante de arquitectura a la hora de evaluar cuál software elegir. Links: 🔵 Outliner: https://youtu.be/3AgXdKU9ZWk​ 🔴 Renders realistas: https://youtu.be/Mr0tOOa6WKg",https://www.youtube.com/watch?v=yOLz3WHiyIE&t=8s&ab_channel=arqMANES,36:27
832,Autocad  SketchUp,20-Mar-20,YOUTUBE,de Autocad a Sketchup ,Modelar en 3D en Sketchup requiere preparar muy bien los archivos 2D. Hoy te explico como hacerlo para que no tengas ningún problema mas al importar tus dibujos de Autocad a Sketchup. Outliner: https://youtu.be/3AgXdKU9ZWk​ Geometría Huérfana: https://youtu.be/3AgXdKU9ZWk?t=173​ Link CAD: https://drive.google.com/file/d/178ZJ...,https://www.youtube.com/watch?v=1pMqnDUCMdE&ab_channel=arqMANES,24:24
833, SketchUp,23-Mar-20,YOUTUBE,Modelar en SketchUp | 9 Tips | Modelado de ARQUITECTURA ✏️,"Te cuento cuales son mis 9 tips mas importantes para modelar arquitectura en SketchUp. En el próximo video, usando estas herramientas, vamos a modelar un edificio desde cero y SIN NINGUN PLUGIN.",https://www.youtube.com/watch?v=7RvNi1_V0Vk&ab_channel=arqMANES,24:16
834, SketchUp,29-Mar-20,YOUTUBE,Modelar en SketchUp. Arquitectura desde cero. Sin plugins ,Tenes que aprender a modelar arquitectura en Sketchup si sos estudiante de arquitectura. Con este video culmino la serie de modelado 3D. Te dejo el archivo para que lo descargues y todos los tutoriales que tenes que ver si o si antes de ver este video. 🔻🔻🔻 Aprovechemos la cuarentena aprendiendo!!! #quedateentucasa​ Archivo 3D SketchUp ➡️ https://drive.google.com/open?id=1-pq...​ Outliner ➡️ https://youtu.be/3AgXdKU9ZWk​ Componentes ➡️ https://youtu.be/Ajf8TnJxFvQ​ Materiales ➡️ https://youtu.be/X0EL_xUIRhY​ Layers y organización ➡️ https://youtu.be/1pMqnDUCMdE​ Tips de modelado ➡️ https://youtu.be/7RvNi1_V0Vk,https://www.youtube.com/watch?v=fqn8dFTU4fI&t=2s&ab_channel=arqMANES,35:57
835,Autocad,31-Mar-20,YOUTUBE,PARA QUE cambiar fondo de AUTOCAD???,"Si lo hubiese sabido antes habría ahorrado tantas complicaciones!!! Muchas veces una configuración predeterminada de la interfase de cualquier software nos hace caer en grandes equivocaciones que empezamos a tomar como hábitos y terminamos practicando nuestros errores una y otra vez por el simple hecho de no salir del contexto ni un segundo y mirar la situación desde afuera. Hoy te traigo una solución muy simple a un problema muy común entre los usuarios de Autocad. Pero ademas te quiero mostrar algo que preparamos especialmente para este video con mi hijo que no te lo podes perder. Te vas a reir mucho!!! Además te hago una consulta para que me ayudes a seguir construyendo nuestra comunidad para beneficio de todos y te doy el resultado del sorteo del último video, y te digo cuales son las instruccionse para participar del próximo sorteo. Todo eso en menos de 20 minutos... Si lo hubiera sabido antes!!!",https://www.youtube.com/watch?v=e1CZxb1dJFA&ab_channel=arqMANES,19:49
836,Autocad,4-Apr-20,YOUTUBE,Bloques DINAMICOS AutoCad,"Te enseño a hacer paso a paso tus propios bloques dinámicos en AUtocad. En este video vamos a hacer, una flecha de escalera de largo variable, una carpinteria de largo y ancho variable, un sanitario que oculta cualquier hatch de piso que tenga por debajo y una puerta de vano y espesor de marco variable. LINKS VIDEOS DE BLOQUES: Para que sirven? ➡️ https://youtu.be/i4t8DOCxr2k​ Como hacerlos BIEN ➡️ https://youtu.be/cX1oL3hqzxA​ Como arreglarlos ➡️ https://youtu.be/mESO1As1QZY",https://www.youtube.com/watch?v=FdMqRxXf0pQ&t=10s&ab_channel=arqMANES,38:58
837,Revit  Autocad,7-Apr-20,YOUTUBE,AutoCad a REVIT,"Hoy te voy a mostrar como preparo mis archivos de Revit antes de empezar a modelar. La peor forma de empezar un proyecto en Revit es a partir del desorden. Seguramente tenemos un CAD con unas minimas plantas vistas y cortes, así que este va a ser nuestro primer paso en Revit. Ordenar, organizar, limpiar, optimizar nuestro CAD para que nuestro proceso de trabajo en Revit sea cómodo y efectivo.",https://www.youtube.com/watch?v=m_lQ2ngrLaQ&t=115s&ab_channel=arqMANES,29:41
